chinese,english
阿古朵,Aguto (H)
阿轲,AKe (H)
艾琳,Erin (H)
安琪拉,Angela (H)
白起,Bai Qi (H)
百里守约,Baili Shouyue (H)
百里玄策,Baili Xuance (H)
扁鹊,Bian Que (H)
不知火舞,Mai Shiranui (H)
蔡文姬,Cai Wenji (H)
曹操,Cao Cao (H)
嫦娥,Chang'e (H)
成吉思汗,Genghis Khan (H)
程咬金,Cheng Yaojin (H)
达摩,Dharma (H)
妲己,Daji (H)
大乔,Da Qiao (H)
狄仁杰,Di Renjie (H)
典韦,Dian Wei (H)
貂蝉,Diao Chan (H)
东方曜,Dongfang Yao (H)
东皇太一,Tai Yi (H)
盾山,Dun Shan (H)
暃,Fei (H)
伽罗,Garo (H)
干将莫邪,Ganjiang Moye (H)
高渐离,Gao Jianli (H)
戈娅,Ge Ya (H)
公孙离,Gongsun Li (H)
宫本武藏,Miyamoto Musashi (H)
关羽,Guan Yu (H)
鬼谷子,Gui Guzi (H)
韩信,Han Xin (H)
后羿,Hou Yi (H)
花木兰,Mulan (H)
黄忠,Huang Zhong (H)
姜子牙,Jiang Ziya (H)
金蝉,Jin Chan (H)
镜,Jing (H)
橘右京,Ukyo Tachibana (H)
铠,Kai (H)
狂铁,Magnus (H)
兰陵王,Lan Ling Wan (H)
澜,Lam (H)
老夫子,Fuzi (H)
李白,Li Bai (H)
李信,Li Xin (H)
廉颇,Lian Po (H)
刘邦,Liu Bang (H)
刘备,Liu Bei (H)
刘禅,Liu Shan (H)
鲁班大师,Luban Master (H)
鲁班七号,Luban No. 7 (H)
露娜,Luna (H)
吕布,Lu Bu (H)
马超,Ma Chao (H)
马可波罗,Marco Polo (H)
蒙恬,Meng Tian (H)
蒙犽,Meng Ya (H)
梦奇,Menki (H)
米莱狄,Milady (H)
芈月,Mi Yue (H)
明世隐,Ming Shiyin (H)
墨子,Mozi (H)
哪吒,Nezha (H)
娜可露露,Nakoruru (H)
牛魔,Niumo (H)
女娲,Nuwa (H)
盘古,Pangu (H)
裴擒虎,Tigerous (H)
桑启,Sang Qi (H)
上官婉儿,Shangguan Wan'er (H)
沈梦溪,Shen Mengxi (H)
司空震,Sikong Zhen (H)
司马懿,Sima Yi (H)
苏烈,Su Lie (H)
孙膑,Sun Bin (H)
孙策,Sun Ce (H)
孙尚香,Sun Shangxiang (H)
孙悟空,Sun Wukong (H)
太乙真人,Taiyi Zhenren (H)
王昭君,Wang Zhaojun (H)
武则天,Wu Ze Tian (H)
西施,Xishi (H)
夏侯惇,Xiahou Dun (H)
夏洛特,Charlotte (H)
项羽,Xiang Yu (H)
小乔,Xiao Qiao (H)
雅典娜,Athena (H)
亚瑟,Arthur (H)
杨戬,Yang Jian (H)
杨玉环,Yang Yuhuan (H)
瑶,Yaria (H)
奕星,Yi Xing (H)
嬴政,Ying Zheng (H)
虞姬,Consort Yu (H)
元芳,Yuanfang (H)
元歌,Yuan Ge (H)
云中君,Yun Zhong Jun (H)
张飞,Zhang Fei (H)
